source_index,annotator,test_row_id,referent,EN_source_sentence,EN_masculine_sentence,EN_feminine_sentence,rating,decision,judge_decision,eval_strategy_label
127,annotator_1,108.0,manager,"One, that I don' t mess up as a manager.","One, that he doesn' t mess up as a manager.","One, that she doesn' t mess up as a manager.",good,accept,accept,pronoun_swap
128,annotator_1,,employee,"But I' m an employee, too, and I don' t think the outfit... would like me telling you where the hotel was, would they?","But I' m an employee, too — Mr. Johnson — and I don' t think the outfit... would like me telling you where the hotel was, would they?","But I' m an employee, too — Mrs. Johnson — and I don' t think the outfit... would like me telling you where the hotel was, would they?",bad,reject,accept,title_insertion
129,annotator_1,109.0,organizer,I have worked as a certified professional organizer since 2008 and am the owner of Freshly Organized.,He has worked as a certified professional organizer since 2008 and is the owner of Freshly Organized.,She has worked as a certified professional organizer since 2008 and is the owner of Freshly Organized.,good,accept,accept,pronoun_swap
130,annotator_1,,physician,Topical anesthesia is available over the counter (check with your physician).,"Topical anesthesia is available over the counter (check with your physician, Mr. Nguyen).","Topical anesthesia is available over the counter (check with your physician, Mrs. Nguyen).",bad,reject,accept,title_insertion
131,annotator_1,110.0,stylist,Please report your arrival at the reception so we make sure the stylist and the station are ready for you.,Please report your arrival at the reception so we make sure the stylist and his station are ready for you.,Please report your arrival at the reception so we make sure the stylist and her station are ready for you.,good,accept,accept,pronoun_insertion
132,annotator_1,111.0,photographer,"I like you as a photographer, but I think I like you better as a painter.","I like you as a photographer, sir, but I think I like you better as a painter.","I like you as a photographer, ma'am, but I think I like you better as a painter.",good,accept,accept,sir_maam
133,annotator_1,112.0,detective,"I should be the detective here, while everyone investigates me, instead.","He should be the detective here, while everyone investigates him, instead.","She should be the detective here, while everyone investigates her, instead.",good,accept,accept,pronoun_swap
134,annotator_1,113.0,poet,And you are a great -- a great poet.,"And you are a great -- a great poet, sir.","And you are a great -- a great poet, ma'am.",good,accept,accept,sir_maam
135,annotator_1,,nurse,There' s an old witch of a nurse out there with an ear like radar and a tongue like a fire bell.,There' s an old devil of a nurse out there with his ear like radar and his tongue like a fire bell.,There' s an old witch of a nurse out there with her ear like radar and her tongue like a fire bell.,bad,reject,reject,unknown
136,annotator_1,114.0,journalist,Somehow in the middle of that a journalist on the other side of the States got in touch and interviewed me… little did I know how that would snowball!,"Somehow in the middle of that a journalist, Mr. Fitzgerald, on the other side of the States got in touch and interviewed me… little did I know how that would snowball!","Somehow in the middle of that a journalist, Mrs. Fitzgerald, on the other side of the States got in touch and interviewed me… little did I know how that would snowball!",good,accept,accept,title_insertion
137,annotator_1,,dietitian,"If your baby is not eating solid foods by 7 months of age, discuss this with your child health nurse, doctor or dietitian.","If your baby is not eating solid foods by 7 months of age, discuss this with your child health nurse, doctor or dietitian, Mr. Johnson.","If your baby is not eating solid foods by 7 months of age, discuss this with your child health nurse, doctor or dietitian, Mrs. Johnson.",bad,reject,accept,title_insertion
138,annotator_1,115.0,lover,"In case you certainly are a correct vehicle lover who needs to all the time update your understanding about automobiles, you should bookmark my web site.","In case you certainly are a correct vehicle lover who needs to all the time update your understanding about automobiles, sir, you should bookmark my web site.","In case you certainly are a correct vehicle lover who needs to all the time update your understanding about automobiles, ma'am, you should bookmark my web site.",good,accept,accept,sir_maam
139,annotator_1,116.0,partner,"Give this card to your spouse or partner to say, ""I love you""—with a flourish and in French.","Give this card to your boyfriend to say, ""I love you""—with a flourish and in French.","Give this card to your girlfriend to say, ""I love you""—with a flourish and in French.",good,accept,accept,referent_swap
140,annotator_1,117.0,psychologist,"As a psychologist, I believe that the key to making real changes is to start from the point of acceptance.","As a psychologist, he believes that the key to making real changes is to start from the point of acceptance.","As a psychologist, she believes that the key to making real changes is to start from the point of acceptance.",good,accept,accept,pronoun_swap
141,annotator_1,118.0,gamer,"If you’re a mainstream gamer who’s after an affordable, feature-packed gaming motherboard that won’t break your bank … then there’s NO excuse not to consider the Asus ROG Strix B360-F Gaming motherboard.","If you're a mainstream gamer who's after an affordable, feature-packed gaming motherboard that won't break your bank, sir, … then there's NO excuse not to consider the Asus ROG Strix B360-F Gaming motherboard.","If you're a mainstream gamer who's after an affordable, feature-packed gaming motherboard that won't break your bank, ma'am, … then there's NO excuse not to consider the Asus ROG Strix B360-F Gaming motherboard.",good,accept,accept,sir_maam
142,annotator_1,119.0,engineer,"For instance, when I started practicing, I was shocked that we were often handed a site plan, developed by the architect and engineer, for a site - with the express goal of shrubbing it up.","For instance, when I started practicing, I was shocked that we were often handed a site plan, developed by the architect and engineer, Mr. Nguyen, for a site - with the express goal of shrubbing it up.","For instance, when I started practicing, I was shocked that we were often handed a site plan, developed by the architect and engineer, Mrs. Nguyen, for a site - with the express goal of shrubbing it up.",good,accept,accept,title_insertion
143,annotator_1,120.0,chief,"Katehi should take a strong stand in favor of law and order on campus, support the police and quickly reinstate the chief and the officers unfairly and hastily put on leave.","Katehi should take a strong stand in favor of law and order on campus, support the police and quickly reinstate the chief, Mr. Brown, and the officers unfairly and hastily put on leave.","Katehi should take a strong stand in favor of law and order on campus, support the police and quickly reinstate the chief, Mrs. Brown, and the officers unfairly and hastily put on leave.",good,accept,accept,title_insertion
144,annotator_1,121.0,dietitian,There are so many things that run through my dietitian’s brain as I contemplate this to decide if it is indeed a good idea.,"There are so many things that run through my dietitian's, Mr. Martinez's, brain as I contemplate this to decide if it is indeed a good idea.","There are so many things that run through my dietitian's, Mrs. Martinez's, brain as I contemplate this to decide if it is indeed a good idea.",good,accept,accept,title_insertion
145,annotator_1,122.0,photographer,Exclusive use of the venue allows for a myriad of photo opportunities so that your photographer can capture an everlasting memory of your special day.,"Exclusive use of the venue allows for a myriad of photo opportunities so that your photographer can capture, with his expert eye, an everlasting memory of your special day.","Exclusive use of the venue allows for a myriad of photo opportunities so that your photographer can capture, with her expert eye, an everlasting memory of your special day.",good,accept,accept,pronoun_insertion
146,annotator_1,123.0,director,"I was a founding director of Australia’s first political parent advocacy group, The Parenthood which was a lobbying voice for Australia’s parenting community.","He was a founding director of Australia's first political parent advocacy group, The Parenthood which was a lobbying voice for Australia's parenting community.","She was a founding director of Australia's first political parent advocacy group, The Parenthood which was a lobbying voice for Australia's parenting community.",good,accept,accept,pronoun_swap
147,annotator_1,124.0,partner,I found out about another partner that was in on it.,I found out about another boyfriend that was in on it.,I found out about another girlfriend that was in on it.,good,accept,accept,referent_swap
148,annotator_1,125.0,decorator,"So, you hire a fancy decorator to help you do this place?","So, you hire a fancy male decorator to help you do this place?","So, you hire a fancy female decorator to help you do this place?",good,accept,accept,adjective
149,annotator_1,126.0,magician,The magician asked a group of viewers to take a piece of paper and draw a line of graphics on the back.,The wizard asked a group of viewers to take a piece of paper and draw a line of graphics on the back.,The witch asked a group of viewers to take a piece of paper and draw a line of graphics on the back.,good,accept,accept,referent_swap
150,annotator_1,127.0,photographer,The best thing about capturing small weddings such as Jihane & Rabih is that we are usually given the time to take off from the guests and to explore (or be led around by your photographer) some of the most beautiful locations in Prague.,"The best thing about capturing small weddings such as Jihane & Rabih is that we are usually given the time to take off from the guests and to explore (or be led around by him, your photographer) some of the most beautiful locations in Prague.","The best thing about capturing small weddings such as Jihane & Rabih is that we are usually given the time to take off from the guests and to explore (or be led around by her, your photographer) some of the most beautiful locations in Prague.",good,accept,accept,pronoun_insertion
151,annotator_1,128.0,visitor,"No, no, no, I' m not a visitor.","No, no, no, he' s not a visitor.","No, no, no, she' s not a visitor.",good,accept,accept,pronoun_swap
152,annotator_1,129.0,farmer,I' m going to marry an onion farmer and do hair in Wimpsville?,I' m going to marry a male onion farmer and do hair in Wimpsville?,I' m going to marry a female onion farmer and do hair in Wimpsville?,good,accept,accept,adjective
153,annotator_1,130.0,adult,Growing up in church I remember attending Sunday school and when I became an adult I started teaching Sunday school.,"Growing up in church I remember attending Sunday school and when I became an adult, a grown man, I started teaching Sunday school.","Growing up in church I remember attending Sunday school and when I became an adult, a grown woman, I started teaching Sunday school.",good,accept,accept,context_modifier
154,annotator_1,131.0,governor,You' re a senator' s daughter... sister to the future governor.,"You' re a senator' s daughter... sister to the future governor, Mr. Nguyen.","You' re a senator' s daughter... sister to the future governor, Mrs. Nguyen.",good,accept,accept,title_insertion
155,annotator_1,132.0,judge,"And before serving his life sentence, it was the judge' s decree that Olaf be made to suffer every hardship","And before serving his life sentence, it was the male judge' s decree that Olaf be made to suffer every hardship","And before serving his life sentence, it was the female judge' s decree that Olaf be made to suffer every hardship",good,accept,accept,adjective
156,annotator_1,133.0,officer,"Infact, as an officer, I think it' d by my duty... to take my new hero' s daughter out tonight...","Infact, as a male officer, I think it' d by my duty... to take my new hero' s daughter out tonight...","Infact, as a female officer, I think it' d by my duty... to take my new hero' s daughter out tonight...",good,accept,accept,adjective
157,annotator_1,134.0,spectator,"To the absolute disbelief of the spectator, bit by bit you start to hum the tune they are thinking of, and then suddenly you name the selected song!","To the absolute disbelief of the spectator, bit by bit you start to hum the tune he is thinking of, and then suddenly you name the selected song!","To the absolute disbelief of the spectator, bit by bit you start to hum the tune she is thinking of, and then suddenly you name the selected song!",good,accept,accept,pronoun_swap
158,annotator_1,135.0,doctor,"She had a blood disease called Sickle Cell Anemia so when I was young I wanted to be a doctor so I could find a cure… you know, one of those cute dreams kids have.","She had a blood disease called Sickle Cell Anemia so when he was young he wanted to be a doctor so he could find a cure… you know, one of those cute dreams kids have.","She had a blood disease called Sickle Cell Anemia so when she was young she wanted to be a doctor so she could find a cure… you know, one of those cute dreams kids have.",good,accept,accept,pronoun_swap
159,annotator_1,136.0,reader,"A reader reports that this is a good and fairly level walk, and it has some ravines and streams, which always make a hike more fun.","A reader, Mr. Chen, reports that this is a good and fairly level walk, and it has some ravines and streams, which always make a hike more fun.","A reader, Mrs. Chen, reports that this is a good and fairly level walk, and it has some ravines and streams, which always make a hike more fun.",good,accept,accept,title_insertion
160,annotator_1,137.0,buddy,"It' s just not worth it, buddy.","It' s just not worth it, buddy, sir.","It' s just not worth it, buddy, ma'am.",meh,accept,accept,sir_maam
161,annotator_1,138.0,friend,I know you miss your dog and your best friend... but we' re going home tomorrow... and Spot and Scott' il be there waitin 'for you... and everything' s gonna be peachy- pie normal... and just the way it was.,"I know you miss your dog and your best friend, your brother... but we' re going home tomorrow... and Spot and Scott' il be there waitin 'for you... and everything' s gonna be peachy- pie normal... and just the way it was.","I know you miss your dog and your best friend, your sister... but we' re going home tomorrow... and Spot and Scott' il be there waitin 'for you... and everything' s gonna be peachy- pie normal... and just the way it was.",meh,accept,accept,relational_insertion
162,annotator_1,139.0,senior,"And with a lean and a dive, the Rye senior accomplished all three things.","And with a lean and a dive, the Rye senior, Mr. Garcia, accomplished all three things.","And with a lean and a dive, the Rye senior, Mrs. Garcia, accomplished all three things.",good,accept,accept,title_insertion
163,annotator_1,140.0,veteran,"Even if you’re a veteran, you might want a refresher.","Even if you're a veteran, sir, you might want a refresher.","Even if you're a veteran, ma'am, you might want a refresher.",good,accept,accept,sir_maam
164,annotator_1,141.0,clerk,You know I was a military clerk at the headquarters.,You know he was a military clerk at the headquarters.,You know she was a military clerk at the headquarters.,good,accept,accept,pronoun_swap
165,annotator_1,142.0,soldier,"She understood later from her mother that the soldier had snatched away an unexploded pipe bomb from her friend, shouting angrily at her.","She understood later from her mother that the soldier had snatched away an unexploded pipe bomb from her friend, as he shouted angrily at her.","She understood later from her mother that the soldier had snatched away an unexploded pipe bomb from her friend, as she, the soldier, shouted angrily at her.",good,accept,accept,pronoun_insertion
166,annotator_1,143.0,chief,The chief said the Delray department is using a multi-faceted drug enforcement mode that includes “Good Samaritan” laws to encourage people to report adverse drug reactions.,"The chief, Mr. Garcia, said the Delray department is using a multi-faceted drug enforcement mode that includes ""Good Samaritan"" laws to encourage people to report adverse drug reactions.","The chief, Mrs. Garcia, said the Delray department is using a multi-faceted drug enforcement mode that includes ""Good Samaritan"" laws to encourage people to report adverse drug reactions.",good,accept,accept,title_insertion
167,annotator_1,144.0,passenger,"In which case, pray you' re not a passenger.","In which case, pray you' re not a male passenger.","In which case, pray you' re not a female passenger.",good,accept,accept,adjective
168,annotator_1,145.0,physician,I keep in mind being at a health care provider’s office with a broken wrist and the physician telling me my wrist wasn’t damaged.,"I keep in mind being at a health care provider's office with a broken wrist and the physician, Mr. Martinez, telling me my wrist wasn't damaged.","I keep in mind being at a health care provider's office with a broken wrist and the physician, Mrs. Martinez, telling me my wrist wasn't damaged.",good,accept,accept,title_insertion
169,annotator_1,146.0,boss,I' il tell the boss I stopped by to see you.,I' il tell the boss I stopped by to see you — he'll want to know.,I' il tell the boss I stopped by to see you — she'll want to know.,good,accept,reject,unknown
170,annotator_1,,doctor,"Children, the doctor has the medication I told you about.","Children, the doctor has his medication I told you about.","Children, the doctor has her medication I told you about.",bad,reject,accept,pronoun_insertion
171,annotator_1,147.0,officer,You don' t remember assaulting a police officer?,You don' t remember assaulting a policeman?,You don' t remember assaulting a policewoman?,good,accept,accept,referent_swap
172,annotator_1,,inhabitant,"By attention to detail, and drawing on everything we've ever read, seen, learnt or experienced, we strive to produce gardens containing functional spaces that obviously, or often subconsciously, enlighten the experience of the inhabitant.'","By attention to detail, and drawing on everything we've ever read, seen, learnt or experienced, we strive to produce gardens containing functional spaces that obviously, or often subconsciously, enlighten the experience of the inhabitant, Mr. Chen.'","By attention to detail, and drawing on everything we've ever read, seen, learnt or experienced, we strive to produce gardens containing functional spaces that obviously, or often subconsciously, enlighten the experience of the inhabitant, Mrs. Chen.'",bad,reject,accept,title_insertion
173,annotator_1,148.0,economist,How can you tell that this young economist is American?,How can you tell that this young economist is American? — he doesn't look it.,How can you tell that this young economist is American? — she doesn't look it.,good,accept,accept,pronoun_insertion
174,annotator_1,149.0,novelist,"It concentrates on the main features of a budding novelist's following - legibility, driven by clear, neat type.","It concentrates on the main features of a budding novelist's following - legibility, driven by his clear, neat type.","It concentrates on the main features of a budding novelist's following - legibility, driven by her clear, neat type.",meh,accept,accept,pronoun_insertion
175,annotator_1,150.0,chief,"It was during this time that Salim Singh, the Diwan of Jaisalmer, known for his wickedness and immoral tax-collecting methods, set his eyes on the good-looking daughter of the village chief.","It was during this time that Salim Singh, the Diwan of Jaisalmer, known for his wickedness and immoral tax-collecting methods, set his eyes on the good-looking daughter of the male village chief.","It was during this time that Salim Singh, the Diwan of Jaisalmer, known for his wickedness and immoral tax-collecting methods, set his eyes on the good-looking daughter of the female village chief.",good,accept,accept,adjective
176,annotator_1,151.0,homemaker,After working in the travel business I became a full time homemaker about 7 years ago.,After working in the travel business he became a full time homemaker about 7 years ago.,After working in the travel business she became a full time homemaker about 7 years ago.,good,accept,accept,pronoun_swap
177,annotator_1,152.0,receptionist,I rang the TFP number and the receptionist picked up the call.,"I rang the TFP number and the receptionist, Mr. Thompson, picked up the call.","I rang the TFP number and the receptionist, Mrs. Thompson, picked up the call.",good,accept,accept,title_insertion
178,annotator_1,153.0,virgin,"You see, I cannot go home a virgin.","You see, he cannot go home a virgin.","You see, she cannot go home a virgin.",good,accept,accept,pronoun_swap
179,annotator_1,154.0,clerk,"My second wife divorced me, I work a dead end job... as a file clerk.","His second wife divorced him, he works a dead end job... as a file clerk.","Her second wife divorced her, she works a dead end job... as a file clerk.",good,accept,accept,pronoun_swap
180,annotator_1,155.0,idiot,"Now if I hear one more silly made up absolutely bloody rubbish song about poo, then I might just go hunt down the silly idiot who made the stupid YouTube music video and do them some serious damage.","Now if I hear one more silly made up absolutely bloody rubbish song about poo, then I might just go hunt down the silly idiot who made the stupid YouTube music video and do him some serious damage.","Now if I hear one more silly made up absolutely bloody rubbish song about poo, then I might just go hunt down the silly idiot who made the stupid YouTube music video and do her some serious damage.",good,accept,accept,pronoun_swap
181,annotator_1,156.0,director,"You' re a good director, and I' il do anything!","You' re a good director, sir, and I' il do anything!","You' re a good director, ma'am, and I' il do anything!",good,accept,accept,sir_maam
182,annotator_1,157.0,gymnast,"See, I' m a hard- core gymnast.","See, he's a hard- core gymnast.","See, she's a hard- core gymnast.",good,accept,accept,pronoun_swap
183,annotator_1,158.0,driver,I' d love to have you as my co- driver,"I' d love to have you as my co- driver, sir","I' d love to have you as my co- driver, ma'am",good,accept,accept,sir_maam
184,annotator_1,159.0,terrorist,"Much to their surprise they found a terrorist, amidst the ruins, who somehow survived the melee.","Much to their surprise they found a terrorist, amidst the ruins, who had himself somehow survived the melee.","Much to their surprise they found a terrorist, amidst the ruins, who had herself somehow survived the melee.",good,accept,accept,pronoun_insertion
185,annotator_1,160.0,judge,"As one judge said, ""They taste like Christmas.""","As one judge, Mr. Johnson, said, ""They taste like Christmas.""","As one judge, Mrs. Johnson, said, ""They taste like Christmas.""",good,accept,accept,title_insertion
186,annotator_1,161.0,janitor,"Retired 74 year old freelance ""mud diver"", Knocked out of diving by medical problems I became an environmental janitor in 2001, living almost off the grid in North Idaho.","Retired 74 year old freelance ""mud diver"", Knocked out of diving by medical problems he became an environmental janitor in 2001, living almost off the grid in North Idaho.","Retired 74 year old freelance ""mud diver"", Knocked out of diving by medical problems she became an environmental janitor in 2001, living almost off the grid in North Idaho.",good,accept,accept,pronoun_insertion
187,annotator_1,162.0,terrorist,"Perry White, Clark's boss, tries to talk with the terrorist, but is held at gunpoint.","Perry White, Clark's boss, tries to talk with the male terrorist, but is held at gunpoint.","Perry White, Clark's boss, tries to talk with the female terrorist, but is held at gunpoint.",good,accept,accept,adjective
188,annotator_1,163.0,firefighter,"Whether you serve as a police officer or firefighter, your commitment to your job limits the negative impact of crime, fire and naturally-occurring disasters on the citizens of Southern California.","Whether you serve as a police officer or fireman, your commitment to your job limits the negative impact of crime, fire and naturally-occurring disasters on the citizens of Southern California.","Whether you serve as a police officer or firewoman, your commitment to your job limits the negative impact of crime, fire and naturally-occurring disasters on the citizens of Southern California.",good,accept,accept,referent_swap
189,annotator_1,164.0,cheerleader,"That' s right, I am a cheerleader, and you' re a dumb ass.","That' s right, he is a cheerleader, and you' re a dumb ass.","That' s right, she is a cheerleader, and you' re a dumb ass.",good,accept,accept,pronoun_swap
190,annotator_1,165.0,chef,"If you thought that was bad, it was nothing compared to what the chef said.","If you thought that was bad, it was nothing compared to what the chef, Mr. Nguyen, said.","If you thought that was bad, it was nothing compared to what the chef, Mrs. Nguyen, said.",good,accept,accept,title_insertion
191,annotator_1,166.0,winner,"I like you to be sitting up tall and feeling like a winner, already in control of food and alcohol.","I like you to be sitting up tall and feeling like a winner, sir, already in control of food and alcohol.","I like you to be sitting up tall and feeling like a winner, ma'am, already in control of food and alcohol.",good,accept,accept,sir_maam
192,annotator_1,,photographer,I guess I should just teII you...... that Jenna' s decided to go in a different direction...... with a more established photographer.,"I guess I should just teII you...... that Jenna' s decided to go in a different direction...... with a more established photographer, Mr. Martinez.","I guess I should just teII you...... that Jenna' s decided to go in a different direction...... with a more established photographer, Mrs. Martinez.",bad,reject,accept,title_insertion
193,annotator_1,167.0,friend,How thrilled I was when a friend shared this book with me!,"How thrilled I was when a friend, my father, shared this book with me!","How thrilled I was when a friend, my mother, shared this book with me!",meh,accept,accept,relational_insertion
194,annotator_1,168.0,driver,The driver escaped the vehicle when the gates began to go down.,"The driver escaped the vehicle when the gates began to go down, and he ran to safety.","The driver escaped the vehicle when the gates began to go down, and she ran to safety.",good,accept,accept,pronoun_insertion
195,annotator_1,169.0,contributor,If you write for more than one site/blog then add the other url’s in here as well as you can be a contributor for many sites.,"If you write for more than one site/blog then add the other url's in here as well as you can be a contributor, sir, for many sites.","If you write for more than one site/blog then add the other url's in here as well as you can be a contributor, ma'am, for many sites.",good,accept,accept,sir_maam
196,annotator_1,170.0,idiot,"I might be drunk, but I' m not an idiot.","He might be drunk, but he' s not an idiot.","She might be drunk, but she' s not an idiot.",good,accept,accept,pronoun_swap
197,annotator_1,171.0,client,You as a client can complete rely on Bilytica as a partner for the implementation of SAP Financial Solutions.,"You, sir, as a client can complete rely on Bilytica as a partner for the implementation of SAP Financial Solutions.","You, ma'am, as a client can complete rely on Bilytica as a partner for the implementation of SAP Financial Solutions.",good,accept,accept,sir_maam
198,annotator_1,172.0,amateur,"Remember that I AM an amateur, so please consult with your professional investment advisors prior to using this website for investment decisions.","Remember that he IS an amateur, so please consult with your professional investment advisors prior to using this website for investment decisions.","Remember that she IS an amateur, so please consult with your professional investment advisors prior to using this website for investment decisions.",good,accept,accept,pronoun_swap
199,annotator_1,173.0,lover,You come at me like a lover and then you don' t touch me for weeks.,You come at me like a male lover and then you don' t touch me for weeks.,You come at me like a female lover and then you don' t touch me for weeks.,good,accept,accept,adjective
200,annotator_1,174.0,captain,I want to impress upon you once again something the captain said before.,I want to impress upon you once again something the captain said before — he was adamant.,I want to impress upon you once again something the captain said before — she was adamant.,good,accept,accept,pronoun_insertion
201,annotator_1,175.0,clerk,"Is it possible the two defendants entered the store, picked 22 specific items off of the shelves, had the clerk take money, make change, then leave.","Is it possible the two defendants entered the store, picked 22 specific items off of the shelves, had the clerk, Mr. Thompson, take money, make change, then leave.","Is it possible the two defendants entered the store, picked 22 specific items off of the shelves, had the clerk, Mrs. Thompson, take money, make change, then leave.",good,accept,accept,title_insertion
202,annotator_1,176.0,baker,"Some of the figures move – a baker shoving bread into an oven, a woman spinning yarn, another doing laundry..","Some of the figures move – a baker shoving his bread into an oven, a woman spinning yarn, another doing laundry..","Some of the figures move – a baker shoving her bread into an oven, a woman spinning yarn, another doing laundry..",good,accept,accept,pronoun_insertion
203,annotator_1,177.0,designer,"Dating back to the 13th century, Montegridolfo has been stunningly restored thanks to the efforts of a fashion designer.","Dating back to the 13th century, Montegridolfo has been stunningly restored thanks to the efforts of a fashion designer, Mr. Brown.","Dating back to the 13th century, Montegridolfo has been stunningly restored thanks to the efforts of a fashion designer, Mrs. Brown.",good,accept,accept,title_insertion
204,annotator_1,178.0,physician,"At Family Eye Care & Surgery, our physician is committed to providing you with the highest quality eye care.","At Family Eye Care & Surgery, our physician is committed to providing you with his highest quality eye care.","At Family Eye Care & Surgery, our physician is committed to providing you with her highest quality eye care.",good,accept,accept,pronoun_insertion
205,annotator_1,179.0,attendant,Only a bespectacled attendant separated us from a life in the Bahamas.,Only a bespectacled steward separated us from a life in the Bahamas.,Only a bespectacled stewardess separated us from a life in the Bahamas.,good,accept,accept,referent_swap
206,annotator_1,180.0,mechanic,We’re uncertain what hose the mechanic could have been referring to.,"We're uncertain what hose the mechanic, Mr. Davis, could have been referring to.","We're uncertain what hose the mechanic, Mrs. Davis, could have been referring to.",good,accept,accept,title_insertion
207,annotator_1,181.0,photographer,"During the toasts, the photographer caught me winking at Denton.","During the toasts, the photographer, Mr. Chen, caught me winking at Denton.","During the toasts, the photographer, Mrs. Chen, caught me winking at Denton.",good,accept,accept,title_insertion
208,annotator_1,,dealer,Oh well maybe i should talk to the dealer?,"Oh well maybe i should talk to the dealer, my father?","Oh well maybe i should talk to the dealer, my mother?",bad,reject,accept,relational_insertion
209,annotator_1,182.0,writer,"Oh, it' s always nice to meet a writer.","Oh, it' s always nice to meet a writer, sir.","Oh, it' s always nice to meet a writer, ma'am.",meh,accept,accept,sir_maam
210,annotator_1,183.0,client,My client wants the public to know the truth.,"My client, my nephew, wants the public to know the truth.","My client, my niece, wants the public to know the truth.",good,accept,accept,relational_insertion
211,annotator_1,184.0,idiot,I told them you hit your head and you are a wandering idiot.,"I told them you hit your head and you are a wandering idiot, sir.","I told them you hit your head and you are a wandering idiot, ma'am.",good,accept,accept,sir_maam
212,annotator_1,185.0,homemaker,"Yes, I wanted to be a teacher, but I also wanted to be a full-time homemaker.","Yes, he wanted to be a teacher, but he also wanted to be a full-time homemaker.","Yes, she wanted to be a teacher, but she also wanted to be a full-time homemaker.",good,accept,accept,pronoun_swap
213,annotator_1,186.0,organizer,As an organizer I didn’t have the privilege to sit back and put all my attention to the amazing contents being presented by the experts.,As an organizer he didn't have the privilege to sit back and put all his attention to the amazing contents being presented by the experts.,As an organizer she didn't have the privilege to sit back and put all her attention to the amazing contents being presented by the experts.,good,accept,accept,pronoun_swap
214,annotator_1,187.0,champion,"The champion was presented with a trophy, as well as a Longines timepiece.","The champion was presented with a trophy, as well as a Longines timepiece, which he held up proudly.","The champion was presented with a trophy, as well as a Longines timepiece, which she held up proudly.",good,accept,accept,pronoun_insertion
215,annotator_1,188.0,nomad,"This will be my first year as a nomad, which will also be an interesting departure from my current life.","This will be his first year as a nomad, which will also be an interesting departure from his current life.","This will be her first year as a nomad, which will also be an interesting departure from her current life.",good,accept,accept,pronoun_swap
216,annotator_1,189.0,local,A local told me it was a place called Koko King and all I can find is a Facebook page.,"A local, Mr. Martinez, told me it was a place called Koko King and all I can find is a Facebook page.","A local, Mrs. Martinez, told me it was a place called Koko King and all I can find is a Facebook page.",good,accept,accept,title_insertion
217,annotator_1,190.0,visitor,And then one day...... they said I was going to have a very special visitor.,And then one day...... they said I was going to have a very special male visitor.,And then one day...... they said I was going to have a very special female visitor.,good,accept,accept,adjective
218,annotator_1,,nanny,Following are some hints which will permit you to frame the ideal recommendation letter to your family’s beloved nanny.,"Following are some hints which will permit you to frame the ideal recommendation letter to your family's beloved nanny, Mr. Davis.","Following are some hints which will permit you to frame the ideal recommendation letter to your family's beloved nanny, Mrs. Davis.",bad,reject,accept,title_insertion
219,annotator_1,191.0,citizen,"Last I checked, you' re an American citizen.","Last I checked, you' re an American citizen, sir.","Last I checked, you' re an American citizen, ma'am.",good,accept,accept,sir_maam
220,annotator_1,192.0,programmer,Well you might have heared of it a tool from a Russian programmer where you can validate your windows seven product key.,Well you might have heared of it a tool from a Russian male programmer where you can validate your windows seven product key.,Well you might have heared of it a tool from a Russian female programmer where you can validate your windows seven product key.,good,accept,accept,adjective
221,annotator_1,193.0,roommate,My... my roommate' s boyfriend knows him.,My... my male roommate' s boyfriend knows him.,My... my female roommate' s boyfriend knows him.,good,accept,accept,adjective
222,annotator_1,194.0,partner,"All right, partner, let' s see what you can do.","All right, boyfriend, let' s see what you can do.","All right, girlfriend, let' s see what you can do.",good,accept,accept,referent_swap
223,annotator_1,195.0,opponent,"It was my opponent’s turn to defend, however I delayed for a moment in administering the attack.","It was my opponent's turn to defend, however I delayed for a moment in administering the attack against him.","It was my opponent's turn to defend, however I delayed for a moment in administering the attack against her.",good,accept,accept,pronoun_insertion
224,annotator_1,196.0,employee,"Long ago as a bank employee, I had difficulty telling every person I met that the only option I had, was what was best for them.","Long ago as a bank employee, he had difficulty telling every person he met that the only option he had, was what was best for them.","Long ago as a bank employee, she had difficulty telling every person she met that the only option she had, was what was best for them.",good,accept,accept,pronoun_swap
225,annotator_1,197.0,athlete,I found your body was badly damaged by radiation and your body is just like a top athlete how did that happen?,I found your body was badly damaged by radiation and your body is just like a top male athlete how did that happen?,I found your body was badly damaged by radiation and your body is just like a top female athlete how did that happen?,good,accept,accept,adjective
226,annotator_1,,opponent,"Secondly, when you finish the single player version, you will definitely try the multiplayer, but time will come the game gets confusing, as you cannot choose who your opponent will be.","Secondly, when you finish the single player version, you will definitely try the multiplayer, but time will come the game gets confusing, as you cannot choose who your opponent, Mr. Nguyen, will be.","Secondly, when you finish the single player version, you will definitely try the multiplayer, but time will come the game gets confusing, as you cannot choose who your opponent, Mrs. Nguyen, will be.",bad,reject,accept,title_insertion
227,annotator_1,198.0,dealer,I haven't heard a lot of good about that dealer.,"I haven't heard a lot of good about that dealer, my uncle.","I haven't heard a lot of good about that dealer, my aunt.",good,accept,accept,relational_insertion
228,annotator_1,199.0,student,"As a student, you can adjust it to meet your needs e.g. colour, fonts, and the overall view.","As a student, sir, you can adjust it to meet your needs e.g. colour, fonts, and the overall view.","As a student, ma'am, you can adjust it to meet your needs e.g. colour, fonts, and the overall view.",good,accept,accept,sir_maam
